Model,Partition,RMSE_uA,MAE_uA,MaxErr_uA,R2,RMSE_norm
RF,train,50.44487683907759,32.95897029391016,266.41717936927853,0.9776619016507303,0.03489549611424695
RF,val,26.5860503400579,20.11442500500082,116.48049556183037,0.9851184255085342,0.02889173227321362
RF,test_SR,43.71398261585203,31.338842507549977,156.21435904911553,0.9777287214242284,0.034049744491065376
RF,test_MAT,33.64913463461529,25.589849218729892,144.19685326762163,0.9707360655362107,0.03860600105848953
XGBoost,train,52.227433203862915,34.43812534590687,309.50382298231114,0.9754393776398425,0.036590299267742904
XGBoost,val,28.834633873194413,23.014551986476697,104.00500778198247,0.979995909027501,0.033497203445443054
XGBoost,test_SR,45.39838981075825,32.90760682687297,150.58749130964287,0.975335482496644,0.035832539989827425
XGBoost,test_MAT,36.6407015046009,27.806708079282828,158.99371500015263,0.9668307763086217,0.04110135258268899
LightGBM,train,50.926115349119605,33.49574745629271,274.78876486244906,0.9767631719419093,0.03559055004502616
LightGBM,val,26.857001861640253,21.531860264597423,99.32377770697069,0.9830946510923046,0.03079365287044803
LightGBM,test_SR,44.68710736300409,32.03305726155953,152.87805904823685,0.976221996721,0.03518268447523262
LightGBM,test_MAT,35.1769193970593,27.090593509317134,145.4199382562404,0.9677954138048973,0.04049928183780749
ANN,train,75.15017168615164,46.74325110722648,381.2026938796043,0.9424292848617081,0.056020514099627744
ANN,val,49.926343643180786,35.37601020563733,176.83467446565635,0.947461511435396,0.05428601070165207
ANN,test_SR,63.61178789204063,44.21414995194167,209.61445778608328,0.9471138141006525,0.05247016209323476
ANN,test_MAT,46.15677538991304,30.05631345188315,223.91524326801297,0.9605701225738683,0.04481270645412587
LSTM,train,61.26817622429123,36.33283775680195,1146.3345751196146,0.9635730621455378,0.044561275173648086
LSTM,val,36.506468836731905,24.18118564207803,563.9036695957182,0.9717315270295692,0.03981991375040993
LSTM,test_SR,52.396761449438564,34.32158108292088,762.4413872599602,0.966017012865362,0.04206027014418583
LSTM,test_MAT,38.40097677143343,24.916507022324847,782.4475530743599,0.9673976726340373,0.040748606584252625
GRU,train,59.08374194933817,38.77810800090299,642.2463578343393,0.9634870172994223,0.04461387369975868
GRU,val,36.841168469330576,25.8611761253215,356.62929367423055,0.9722814063386467,0.03943072264985995
GRU,test_SR,48.688175097152715,35.06734699573292,476.46577736139295,0.9713646048364593,0.038609383989909436
GRU,test_MAT,34.5222119849589,24.8209161576245,445.9813185214996,0.975082558585297,0.03562379503666487
