Model,scan_rate_mVs,RMSE_uA,R2
RF,10.0,17.892483336657424,0.9485056761565702
RF,20.0,28.7559258168113,0.9439599852270014
RF,30.0,33.06455731360674,0.9557589146169816
RF,40.0,37.03227571832742,0.961431134900819
RF,50.0,35.39710846470335,0.973213378409819
RF,60.0,34.708840830122874,0.9792971661732027
RF,70.0,35.13582729663023,0.9821688062543932
RF,80.0,34.833633817976065,0.98480264468243
RF,90.0,36.228497323689446,0.9854422030720447
RF,100.0,38.637710197141736,0.9853259186221072
XGBoost,10.0,16.242026553758716,0.9575675068851872
XGBoost,20.0,28.03491123740296,0.9467350035075943
XGBoost,30.0,42.58981205764069,0.9265973405139744
XGBoost,40.0,37.11604190654064,0.9612564537227467
XGBoost,50.0,40.99742757872742,0.9640668257018197
XGBoost,60.0,35.60046097831099,0.9782198523417369
XGBoost,70.0,35.638593091347396,0.9816548548041399
XGBoost,80.0,36.77666139093804,0.9830599356546291
XGBoost,90.0,40.627668668181606,0.9816920878752629
XGBoost,100.0,44.3027791788527,0.9807074291523746
LightGBM,10.0,17.85972913626285,0.94869403587887
LightGBM,20.0,28.72793575811015,0.9440690270933288
LightGBM,30.0,39.6828139688936,0.9362756711353288
LightGBM,40.0,37.061254865301585,0.961370748110812
LightGBM,50.0,40.57308107063603,0.9648068332889504
LightGBM,60.0,34.99074800443313,0.9789595012709943
LightGBM,70.0,35.46437908409225,0.9818337715031531
LightGBM,80.0,35.42014037114117,0.9842865694905315
LightGBM,90.0,37.064020388083264,0.984762978953486
LightGBM,100.0,39.05192107585352,0.9850096087672623
ANN,10.0,16.14456145945809,0.9580752364128495
ANN,20.0,25.743843752958735,0.9550851127544098
ANN,30.0,30.78143893904302,0.9616576979634927
ANN,40.0,35.39350398516762,0.9647691454195212
ANN,50.0,40.46589689193668,0.9649925311960155
ANN,60.0,45.08250693110044,0.9650726454395038
ANN,70.0,49.407240370329916,0.9647417099870861
ANN,80.0,54.018067429175744,0.9634532688346852
ANN,90.0,59.89824587381952,0.9602054843014216
ANN,100.0,74.59317374620211,0.9453076816506175
LSTM,10.0,16.501180855569807,0.9562026165501998
LSTM,20.0,25.428093469734993,0.9561801254115563
LSTM,30.0,33.04314004021618,0.9558162095952157
LSTM,40.0,38.08228047088804,0.9592129822645978
LSTM,50.0,41.16643251587537,0.9637699582425808
LSTM,60.0,41.64223102164384,0.9701999114181298
LSTM,70.0,42.049589758178705,0.9744610182592035
LSTM,80.0,42.50874737715011,0.9773677845621231
LSTM,90.0,43.7285820863763,0.9787907258351991
LSTM,100.0,48.675075850507504,0.9767115043488291
GRU,10.0,13.222489719810799,0.9718781043014407
GRU,20.0,19.830211029411466,0.973349939223739
GRU,30.0,28.309929636962313,0.9675676866020667
GRU,40.0,34.36927257536419,0.9667786912001957
GRU,50.0,37.905648088274496,0.9692821919691167
GRU,60.0,38.11507842896384,0.9750343307762546
GRU,70.0,37.79634273969634,0.9793661813855896
GRU,80.0,37.73314598829234,0.9821673253939885
GRU,90.0,39.12476360668655,0.98302153325573
GRU,100.0,45.76420399707413,0.9794136198890507
